CreditScore,CreditScore_Normalized,CreditScore_Category_churn,Balance,NumOfProducts,HasCrCard,Exited,Credit_Score,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,income,loan_type_type1,loan_type_type2,loan_type_type3,open_credit,loan_limit,Status,CreditScore_Category_loan
475,0.25,Poor,134264.04,1,1,1,600,216500,4.049942512535277,0.48141681109888257,3165.239995889,4440.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,326500,4.625,0.7497,7374.38,6120.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,406500,4.56,0.4445,550.0,7800.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,216500,3.75,-0.2223,780.75,2640.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,116500,3.875,0.4573,3341.24,1380.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,446500,3.625,-0.1413,0.0,5280.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,256500,2.99,0.3915,4406.66,2940.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,126500,4.056275586633748,0.5044484519670562,3152.4363290090537,2760.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,206500,4.024836397359197,0.3901128062286232,3215.997389591644,11100.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,276500,3.5,0.5326,872.22,9540.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,556500,3.99,-0.0441,8042.75,9000.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,306500,3.99,0.3521,1250.0,12060.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,226500,4.058989761247378,0.5143191551962736,3146.9490432033626,2040.0,False,False,True,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,306500,4.053561412020117,0.49457774873783844,3157.9236148147456,3480.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,136500,4.375,0.6556,4002.5,2460.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,336500,3.875,0.1453,3920.44,5640.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,56500,5.625,1.4971,1525.0,3960.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,156500,4.75,0.4658,2667.5,1980.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,366500,4.047228337921648,0.47154610786966566,3170.7272816946906,5160.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,376500,3.375,-0.1683,3750.0,3180.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,576500,4.078036674601941,0.2137769178747968,3870.446367981836,22260.0,True,False,False,0,0.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,136500,4.006741899934995,0.3243081180338412,3252.5792949629185,15900.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,446500,3.625,0.5313,3767.103177524507,13920.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,386500,2.75,-0.8762,4852.1,9881.20706033573,False,False,True,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,186500,3.625,0.1768,3395.63,8040.0,False,False,True,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,516500,3.375,0.2204,432.9,6180.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,456500,3.75,-0.039,6065.02,16440.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,396500,5.5,1.1691,3820.5,4080.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,286500,4.046097431832635,0.4674333148574914,3173.0136507803954,5460.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,406500,3.625,-0.0616,0.0,5580.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,156500,4.05831121759397,0.5118514793889686,3148.320864654785,2220.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,146500,3.125,0.5139,4188.93,8220.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,726500,4.375,0.2631,13863.75,18840.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,486500,4.066679922652664,0.5422861476790559,3131.401733420571,0.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,186500,3.99,0.5053,3766.25,3120.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,596500,4.035693095813718,0.4295956191454917,3194.0482463688786,8220.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,526500,3.99,0.4791,1822.68,7500.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,176500,3.875,0.4178,5386.0,3720.0,True,False,False,0,1.0,0,Poor
